,stop_id,stop_name,stop_code,zone_id,02/10/2023 13:50:29
0,6315,Lincoln Av & Paru St,53158,E,0
1,17,Broadway & Tilden Way,51545,E,0
2,25,Challenger Dr & Atlantic Av,58996,E,0
3,77,1080 Marina Village Pkwy,57507,E,0
4,79,1250 Marina Village Pkwy,59987,E,0
5,82,Marina Village Pkwy & Challenger Dr,57656,E,0
6,84,Marina Village Pkwy & Mariner Square Dr (N Jctn),58177,E,0
7,193,Broadway & Blanding Av,58677,E,0
8,2035,11th St & Jefferson St,51110,E,0
9,2036,12th St & Broadway (12th St BART),55557,E,0
10,2826,Fruitvale Av & E 9th St,58058,E,0
11,2843,Fruitvale BART,59000,E,0
12,3658,12th St & Harrison St,58858,E,0
13,3696,Harrison St & 8th St,50237,E,0
14,5336,12th & Clay St,51528,E,0
15,5584,1105 Atlantic Av,56707,E,0
16,5586,Atlantic Av & Triumph Dr,54332,E,0
17,5588,Buena Vista Av & Chestnut St,52545,E,0
18,5593,Buena Vista Av & Walnut St,56722,E,0
19,5594,Buena Vista Av & Willow St,53422,E,0
20,5612,Buena Vista Av & Park St,51727,E,0
21,5645,Buena Vista Av & Grand St,51737,E,0
22,5947,Sherman St & Buena Vista Av,52304,E,0
