,stop_id,stop_name,stop_code,zone_id,02/10/2023 13:50:40
0,6200,Broadway & 15th St,52894,E,85.0
1,17,Broadway & Tilden Way,51545,E,66.0
2,136,Santa Clara Av & 8th St,55995,E,85.0
3,140,Santa Clara Av & Bay St,55537,E,85.0
4,141,Santa Clara Av & Broadway,57733,E,66.0
5,143,Santa Clara Av & Chestnut St,55579,E,66.0
6,144,Santa Clara Av & Grand St,56661,E,66.0
7,147,Santa Clara Av & Park St,55511,E,66.0
8,150,Santa Clara Av & Stanton St,55994,E,66.0
9,153,Santa Clara Av & Willow St,51119,E,66.0
10,168,Webster St & Lincoln Av,55549,E,85.0
11,188,Webster St & Santa Clara Av,55444,E,85.0
12,193,Broadway & Blanding Av,58677,E,66.0
13,203,Webster St & Atlantic Av,59400,E,85.0
14,211,Webster St & Willie Stargell Av,50542,E,85.0
15,2305,8th St & Broadway,54222,E,85.0
16,2306,8th St & Harrison St,59222,E,85.0
17,2486,Broadway & 17th St,53335,E,85.0
18,2489,Broadway & 20th St (19th St BART),57111,E,85.0
19,2490,Broadway & 25th St,59522,E,214.0
20,2491,Broadway & 27th St,50639,E,214.0
21,2492,Broadway & 28th St,56567,E,214.0
22,2496,Broadway & 40th St,56655,E,214.0
23,2507,Broadway & Grand Av,55771,E,85.0
24,2509,Broadway & Piedmont Av,59552,E,214.0
25,2542,College Av & Broadway,53311,E,214.0
26,2547,College Av & Lawton Av,56969,E,214.0
27,2548,College Av & Manila Av,55644,E,214.0
28,2826,Fruitvale Av & E 9th St,58058,E,0.0
29,2844,Fruitvale BART,51333,E,1008.0
30,3701,Broadway & W MacArthur Blvd,50147,E,214.0
31,3720,Keith Av & College Av,50484,E,214.0
32,5231,Broadway & Mather St,50986,E,214.0
33,5315,Santa Clara Av & Walnut St,51461,E,66.0
34,5318,Santa Clara Av & Oak St,51471,E,66.0
35,5319,Santa Clara Av & Morton St,51474,E,85.0
36,5321,Santa Clara Av & Mozart St,51476,E,85.0
37,5322,Webster St & Buena Vista Av,51478,E,85.0
38,5326,Broadway & 30th St,51502,E,214.0
39,5327,Broadway & Kaiser Hospital Entrance,51503,E,214.0
40,5328,Broadway & Pleasant Valley Av,51504,E,214.0
41,6036,Broadway & 11th St (12th St BART),52999,E,85.0
